요양기관명,종별코드명,시도코드명,시군구코드명,주소,개설일자
(사)경찰공제회 강서적성의원,의원,서울,강서구,"서울특별시 강서구 남부순환로 171, 강서운전면허시험장만남의광장 적성검사소호 (외발산동)",2019-12-30
(사)인구보건복지협회 서울지회 가족보건의원,의원,서울,광진구,"서울특별시 광진구 긴고랑로13길 62, 1층, 2층 (중곡동)",2006-06-23
(사)한국건강관리협회 중앙검사본부 중앙검사의원,의원,서울,강서구,"서울특별시 강서구 화곡로 372, ND타워 지4,지1, 1~4층 (등촌동)",2015-11-04
(사)한국뇌전증협회로빈슨기념의원,의원,서울,중구,"서울특별시 중구 만리재로 177, 지하1층 11호,12호호 (만리동2가)",2016-05-20
(사)한국한센복지협회서울특별시지부부설의원,의원,서울,동작구,"서울특별시 동작구 상도로 170, 2층 (상도동)",1986-01-09
(스카이메디)연세건강증진내과의원,의원,서울,송파구,"서울특별시 송파구 송파대로 371, 2층,3층,4층 (석촌동)",1982-04-27
(의) 열린의료재단 강동열린의원,의원,서울,강동구,"서울특별시 강동구 천호대로 1092, 1층 112호,113호 (성내동, SK허브진)",2001-02-28
(의) 열린의료재단 동대문열린의원,의원,서울,종로구,"서울특별시 종로구 종로 335, 원풍빌딩 6층 (창신동)",2008-06-10
(의) 열린의료재단 상봉열린의원,의원,서울,중랑구,"서울특별시 중랑구 면목로 492, 주연빌딩 7,8 일부층 (상봉동)",2004-03-08
(의) 열린의료재단 서초열린의원,의원,서울,서초구,"서울특별시 서초구 서초대로 320, 하림인터내셔날빌딩 3층 (서초동)",2011-03-24
(의) 열린의료재단 연신내열린의원,의원,서울,은평구,"서울특별시 은평구 통일로 861, 범일빌딩 6층 (갈현동)",2011-05-11
(의) 열린의료재단 영등포열린의원,의원,서울,영등포구,"서울특별시 영등포구 경인로 841, 영등포우체국 4,5층 (영등포동4가)",2001-09-01
(의) 열린의료재단 은평열린의원,의원,서울,은평구,"서울특별시 은평구 서오릉로 145, 상원빌딩 4층 (구산동)",2004-12-01
(의) 열린의료재단 혜화열린의원,의원,서울,성북구,"서울특별시 성북구 동소문로 125, 5~6층 (동선동4가)",2006-02-21
(의)가산의료재단 광동병원,병원,서울,강남구,"서울특별시 강남구 봉은사로 612, (삼성동)",1994-04-25
(의)미래의료재단리드림의원,의원,서울,강남구,"서울특별시 강남구 테헤란로 513, (삼성동, B1일부,4,9,10층,테헤란로81길10,B1일부,삼성로92길29,3,4)",2000-07-12
(의)미래의료재단미래치과의원,치과의원,서울,강남구,"서울특별시 강남구 테헤란로 513, (삼성동, 지하1층일부)",2003-08-21
(의)성광의료재단 차여성의원,의원,서울,중구,"서울특별시 중구 한강대로 416, 서울스퀘어 2층 (남대문로5가)",2015-11-09
(의)성광의료재단 차움의원,의원,서울,강남구,"서울특별시 강남구 도산대로 442, 피엔폴루스 2층일부, 3층일부 (청담동)",2010-05-20
(의)성광의료재단 차움한의원,한의원,서울,강남구,"서울특별시 강남구 도산대로 442, (청담동, 2층일부)",2010-07-12
(의)성광의료재단차움건진의원,의원,서울,강남구,"서울특별시 강남구 테헤란로 509, 지하2층,지하1층일부,2층 (삼성동)",2004-04-01
(의)수지의료재단 용인수지병원,병원,경기,용인수지구,"경기도 용인시 수지구 풍덕천로22번길 15, 지하1,지상2~6층 (풍덕천동)",2016-12-12
(의)열린의료재단 강남열린의원,의원,서울,강남구,"서울특별시 강남구 언주로 123, 3층 (도곡동, 개포한신아파트)",2002-05-22
(의)열린의료재단 구로열린의원,의원,서울,구로구,"서울특별시 구로구 구로중앙로 68, 208, 209, 210호 (구로동, 신안타워)",2011-11-16
(의)열린의료재단 미아열린의원,의원,서울,강북구,"서울특별시 강북구 도봉로 213, 하당빌딩 3,4층 (미아동)",2003-06-13
(의)열린의료재단 예인의원,의원,서울,강서구,"서울특별시 강서구 양천로 366, 5,6층 (가양동, 미라클빌딩)",2008-03-04
(의)영문의료재단 다보스병원,종합병원,경기,용인처인구,"경기도 용인시 처인구 백옥대로1082번길 18, 다보스종합병원 (김량장동)",2008-12-24
(의)유일재단 하나애병원,병원,경기,용인처인구,"경기도 용인시 처인구 백옥대로916번길 48, (남동)",2008-04-23
(의)케이씨엘의료재단 한국의원,의원,서울,강동구,"서울특별시 강동구 성내로 71, 케이씨엘빌딩 2,3층 (성내동)",2008-12-01
(의)현당의료재단 늘봄요양병원,요양병원,경기,용인수지구,"경기도 용인시 수지구 포은대로59번길 17, 광교복합의료센터,지하1층,1층일부,2층~4층,6층 (상현동)",2018-04-25
(의)효심의료재단 용인서울병원,병원,경기,용인처인구,"경기도 용인시 처인구 고림로 81, (고림동)",2002-06-12
(재)원불교서울보화당한의원,한의원,서울,종로구,"서울특별시 종로구 종로 237, (종로5가, 서울보화당)",1995-11-23
(재)이랜드재단 이랜드의원,의원,서울,금천구,"서울특별시 금천구 가산디지털1로 186, 제이플라츠 401~402호 (가산동)",2008-01-17
(재)천주교서울대교구유지재단 전진상의원,의원,서울,금천구,"서울특별시 금천구 탑골로3가길 22, 전진상사회복지관 (시흥동)",1991-09-26
(재)한국산업의학연구소 래피젠헬스케어의원,의원,서울,금천구,"서울특별시 금천구 가산디지털2로 135, 가산 어반워크I 2층 201~216호 (가산동)",2010-11-05
(재)한국의학연구소한국중부의원,의원,서울,종로구,"서울특별시 종로구 세종대로 149, 광화문빌딩 지하1층,3,4층 (세종로)",1994-01-28
(주)녹십자홀딩스부속의원,의원,경기,용인기흥구,"경기도 용인시 기흥구 이현로30번길 107, (주)녹십자 휘트니스센터 1층 (보정동)",2022-05-02
(주)제이시스메디칼부속의원,의원,서울,강남구,"서울특별시 강남구 강남대로 566, 신영와코루빌딩 1층 일부 (논현동)",2023-06-01
(주)하나은행부속의원,의원,서울,중구,"서울특별시 중구 을지로 35, 8층 (을지로1가, 하나은행)",1983-11-14
(주)하나은행부속치과의원,치과의원,서울,중구,"서울특별시 중구 을지로 35, 8층 (을지로1가, 하나은행)",1983-11-14
(홍인의료소비자생활협동조합)우리현대의원,의원,경기,용인처인구,"경기도 용인시 처인구 양지면 양지로 137, (우리현대의원)",2015-03-13
100년한의원,한의원,서울,중구,"서울특별시 중구 세종대로11길 42, 4층 (서소문동, 부림빌딩)",2016-08-30
10년전당신의오늘의원,의원,서울,강남구,"서울특별시 강남구 도산대로 452, JS빌딩 3층 (청담동)",2021-08-27
10월10일한의원,한의원,서울,서초구,"서울특별시 서초구 양재천로 99-2, 유림빌딩 2층 (양재동)",2024-03-14
111의원,의원,서울,강남구,"서울특별시 강남구 도산대로 111, (신사동, S-TOWER 11~12층)",2015-11-19
123스텝업병원,병원,서울,강동구,"서울특별시 강동구 올림픽로 628-3, 지하1, 지상2~9층 (성내동)",2025-06-23
123의원,의원,서울,강남구,"서울특별시 강남구 삼성로 212, 241호 (대치동, 은마상가 B블럭)",2008-10-17
123치과교정과치과의원,치과의원,서울,송파구,"서울특별시 송파구 올림픽로 300, 4층 (신천동)",2016-07-01
153치과의원,치과의원,서울,관악구,"서울특별시 관악구 남부순환로 1852, 4층 (봉천동)",2024-04-30
180(일팔공)한의원,한의원,서울,송파구,"서울특별시 송파구 송파대로 141, 르피에드 213호,216~222호 (문정동)",2023-09-21
1삼성탑의원,의원,서울,성동구,"서울특별시 성동구 고산자로 255, 5층 (도선동, 케이-타워)",2009-11-04
1신건우 이비인후과의원,의원,서울,중랑구,"서울특별시 중랑구 동일로 634, 덕천빌딩 3층 (면목동)",1997-07-16
2060오스킨성형외과의원,의원,서울,강남구,"서울특별시 강남구 테헤란로87길 13, 서영빌딩 7층 (삼성동)",2001-10-08
2080치과의원,치과의원,서울,송파구,"서울특별시 송파구 백제고분로 365, 지하1층 105호 (석촌동, 태문빌딩)",2000-04-22
2080치과의원,치과의원,서울,강북구,"서울특별시 강북구 솔샘로 231, 2층 (미아동)",2017-04-27
210정형외과의원,의원,서울,양천구,"서울특별시 양천구 목동동로 150, 목동 블루스퀘어 2층 일부,4~6층 (신정동)",2021-01-12
21C메트로한방병원,한방병원,서울,은평구,"서울특별시 은평구 갈현로 24, 2층 201,202호 (신사동)",2016-01-07
21성형외과의원,의원,서울,서초구,"서울특별시 서초구 강남대로 441, 서산빌딩 10층 (서초동)",2022-12-09
21세기영상의학과의원,의원,서울,서초구,"서울특별시 서초구 강남대로 331, 2001호 (서초동)",2002-02-22
247외과의원,의원,서울,강남구,"서울특별시 강남구 봉은사로 108, 2층 (역삼동)",2016-09-27
24까페거리의원,의원,경기,용인기흥구,"경기도 용인시 기흥구 죽전로 17, 풍산프라자 602동 6층 2호 (보정동)",2024-08-23
24시열린의원,의원,서울,광진구,"서울특별시 광진구 능동로 90, 3층 (자양동, 더클래식500)",2013-09-27
24시열린의원,의원,서울,양천구,"서울특별시 양천구 목동동로 233-1, 109호 (목동, 현대드림타워)",2014-08-22
24시열린의원,의원,서울,마포구,"서울특별시 마포구 월드컵북로 396, 누리꿈스퀘어 지하층 B1095호 (상암동)",2017-12-29
24시열린의원,의원,서울,송파구,"서울특별시 송파구 백제고분로 187, 2층 205,206호 (잠실동, 파크인수)",2016-01-04
365 하늘애한의원 강동본점,한의원,서울,강동구,"서울특별시 강동구 동남로75길 29, 세종프라자 203호 (명일동)",2015-04-16
365mc모인이비인후과의원,의원,서울,중랑구,"서울특별시 중랑구 사가정로 395, (면목동)",2004-03-11
365MC의원,의원,서울,노원구,"서울특별시 노원구 동일로 1392, 5,6층 (상계동)",2010-05-03
365강서수요양병원,요양병원,서울,강서구,"서울특별시 강서구 양천로 35, 1~6층 (방화동, 강서성심병원)",2016-09-19
365경희길음한의원,한의원,서울,성북구,"서울특별시 성북구 길음로9길 50, 상가동 1층 212호 (길음동, 길음뉴타운)",2020-11-26
365경희밝은본한의원,한의원,경기,용인기흥구,"경기도 용인시 기흥구 죽전로 52, 훼미리프라자 107,108호 (보정동)",2025-09-30
365경희제일한의원,한의원,서울,강동구,"서울특별시 강동구 양재대로 1349, 3층 (성내동)",2024-02-22
365경희한의원,한의원,서울,강서구,"서울특별시 강서구 등촌로 3, 부경빌딩 302층 (화곡동)",2019-04-03
365공릉차한의원,한의원,서울,노원구,"서울특별시 노원구 동일로 1098, 지하1층, 지상3층 (공릉동)",2023-12-20
365구구한의원,한의원,서울,강서구,"서울특별시 강서구 수명로 78, 새롬프라자 4층 402,403호 (내발산동)",2019-04-11
365다시재한방병원,한방병원,서울,송파구,"서울특별시 송파구 위례서로 248, 3층 일부, 4층 (거여동)",2021-08-26
365다움의원,의원,서울,성동구,"서울특별시 성동구 왕십리광장로 17, 왕십리민자역사 4층 (행당동)",2011-04-19
365대림정형외과의원,의원,서울,영등포구,"서울특별시 영등포구 도림로 140, 대림빌딩 2층 (대림동)",2025-11-07
365더바른마취통증의학과의원,의원,서울,은평구,"서울특별시 은평구 연서로 252, 세종빌딩 2층 (불광동)",2019-03-07
365더잘봄정형외과의원,의원,서울,마포구,"서울특별시 마포구 월드컵로1길 14, 2층 212~215호 (합정동, 마포 한강 푸르지오)",2024-12-18
365더튼튼의원,의원,서울,구로구,"서울특별시 구로구 경인로 191, 2,3층 (오류동)",2008-02-20
365도담의원,의원,서울,강북구,"서울특별시 강북구 도봉로 386, 번동빌딩 3층 (번동)",2025-03-12
365동백 서로나눔한의원,한의원,경기,용인기흥구,"경기도 용인시 기흥구 동백중앙로 265, (중동)",2007-03-13
365류마고내과의원,의원,서울,광진구,"서울특별시 광진구 광나루로56길 63, 프라임프라자 501~503호 (구의동)",2010-02-26
365매일한방병원,한방병원,서울,동대문구,"서울특별시 동대문구 천호대로 3, 지하2층, 지상1~2층 (신설동)",2021-06-23
365매일한방병원,한방병원,서울,강북구,"서울특별시 강북구 오패산로 414, 2~4층 (번동)",2025-07-29
365메디의원,의원,서울,강북구,"서울특별시 강북구 삼양로 241, 3층 (미아동)",2014-03-17
365메트로의원,의원,서울,강남구,"서울특별시 강남구 학동로 102, 논현역 212호 (논현동)",2023-09-11
365목동바로치과의원,치과의원,서울,양천구,"서울특별시 양천구 신월로 274, 3층 (신정동)",2017-04-28
365문정사랑의원,의원,서울,송파구,"서울특별시 송파구 송이로32길 37, 1층 (문정동, 문정푸르지오아파트)",2018-12-14
365미소내과의원,의원,서울,동작구,"서울특별시 동작구 남부순환로 2055, 2층 (사당동)",2012-03-30
365바른약속치과의원,치과의원,서울,마포구,"서울특별시 마포구 월드컵로 134, 금수빌딩 C동 2층 (성산동)",2018-07-02
365바른정형외과의원,의원,서울,관악구,"서울특별시 관악구 은천로 37, 2층 (봉천동)",2019-01-25
365반반한의원,한의원,서울,서대문구,"서울특별시 서대문구 통일로9안길 28, 2,3층 (충정로2가)",2024-11-12
365밝은안과의원,의원,서울,관악구,"서울특별시 관악구 신림로 350, 3층 302호 (신림동, 서원프라자,태영아파트)",2013-04-18
365백세드림정형외과의원,의원,서울,금천구,"서울특별시 금천구 시흥대로 411, 고려인청소년회관 4층 401호 (독산동)",2025-03-14
365보스턴치과의원,치과의원,서울,서대문구,"서울특별시 서대문구 명물길 6, 4층 (창천동)",2025-03-25
365본맥한의원,한의원,서울,성북구,"서울특별시 성북구 보국문로 51, 2층 (정릉동, 안진빌딩)",2016-05-10
365봄연합의원,의원,서울,강서구,"서울특별시 강서구 양천로 424, 가양역 데시앙플렉스 지식산업센터 227,236~240호 (등촌동)",2022-08-03
365봄이비인후과의원,의원,서울,성북구,"서울특별시 성북구 길음로 33, A동상가동 지하1층 1호,2-1호 (길음동, 길음뉴타운8단지아파트)",2013-05-06
365봄한의원,한의원,서울,노원구,"서울특별시 노원구 동일로 1343, 동일프라자빌딩 201,202,203호 (상계동)",2008-06-10
365봄한의원,한의원,서울,은평구,"서울특별시 은평구 통일로 626, 유림빌딩 2층 (녹번동)",2020-04-28
365삼성의원,의원,서울,강남구,"서울특별시 강남구 도곡로 331, 7층 (역삼동)",2023-12-07
365삼성튼튼정형외과의원,의원,서울,양천구,"서울특별시 양천구 남부순환로 352, 4층 (신월동)",2025-05-21
365서울늘열린의원,의원,서울,강동구,"서울특별시 강동구 양재대로 1343, 2층 (성내동)",2008-02-13
365서울바로치과의원,치과의원,서울,강동구,"서울특별시 강동구 양재대로 1319, 대성빌딩 301-302호 (성내동)",2022-10-26
365서울연합의원,의원,서울,중랑구,"서울특별시 중랑구 망우로 463, 2층 (망우동)",2008-06-17
365서울원탑치과의원,치과의원,서울,강서구,"서울특별시 강서구 강서로 179, 3,4층 302, 401, 402호 (화곡동)",2018-07-27
365서울치과의원,치과의원,서울,종로구,"서울특별시 종로구 종로 120, 동영타워 8층 (종로3가)",2020-09-02
365서울탑치과의원,치과의원,서울,은평구,"서울특별시 은평구 불광로 15, 2층 (대조동)",2018-03-28
365서울한의원,한의원,서울,구로구,"서울특별시 구로구 도림로26길 10, 해맑은미소 5,6층 (구로동)",2019-08-30
365소리안한의원,한의원,서울,강남구,"서울특별시 강남구 학동로 339, 세한빌딩 2층 (논현동)",2024-01-03
365송파한의원,한의원,서울,송파구,"서울특별시 송파구 중대로 304, 3층 (오금동)",2024-04-29
365신의손한의원,한의원,서울,도봉구,"서울특별시 도봉구 마들로11길 65, 3층 (창동)",2025-11-13
365쌩쌩한의원,한의원,서울,송파구,"서울특별시 송파구 가락로 210, 102호 (송파동)",2024-04-23
365아산원탑마취통증의학과재활의학과의원,의원,서울,광진구,"서울특별시 광진구 광나루로 620, 이진빌딩 1,2층 (구의동)",2024-06-19
365아이엠유의원,의원,서울,송파구,"서울특별시 송파구 송파대로 82, 장지역 104호 (장지동)",2025-12-19
365어울림한의원,한의원,서울,강서구,"서울특별시 강서구 초록마을로 15, 102~104호 (화곡동, 은가람팰리스)",2022-09-14
365엠씨(mc)병원,병원,서울,서초구,"서울특별시 서초구 서초중앙로 126, 서울365mc병원 지하1층, 2~13층 (서초동)",2013-01-17
365엠씨(mc)의원,의원,서울,강동구,"서울특별시 강동구 천호대로 1034, 3층 301호 (성내동, 탑 메디칼센타)",2007-04-27
365엠씨람스의원,의원,서울,영등포구,"서울특별시 영등포구 영중로 6, 11~13층 (영등포동3가, 영등포키스톤타워)",2012-05-15
365엠씨의원,의원,서울,강남구,"서울특별시 강남구 도산대로 116, 논현빌딩 2층, 3층(동측), 3층일부(서측) (논현동)",2021-09-02
365엠씨의원,의원,서울,성북구,"서울특별시 성북구 아리랑로 3, 5층 (동소문동6가, 기업은행)",2010-07-09
365엠씨의원,의원,서울,마포구,"서울특별시 마포구 신촌로 92, 7,10층 (노고산동)",2006-05-24
365역촌으뜸본재활의학과의원,의원,서울,은평구,"서울특별시 은평구 서오릉로 64, 101,201,202호 (녹번동, 한경S타워)",2025-02-03
365연세의원,의원,서울,성동구,"서울특별시 성동구 왕십리로 410, L동 3층 320호 (하왕십리동, 센트라스)",2017-04-07
365열린가정의학과의원,의원,서울,강남구,"서울특별시 강남구 도곡로 405, 삼환 아르누보2 204호 (대치동)",2018-01-25
365열린내과의원,의원,서울,노원구,"서울특별시 노원구 한글비석로 77, 3층 (하계동)",2010-02-01
365열린의원,의원,서울,강동구,"서울특별시 강동구 올림픽로 664, 3층 (천호동, 대우한강베네시티)",2010-09-02
365열린치과의원,치과의원,서울,영등포구,"서울특별시 영등포구 신길로 167, 301호 (신길동)",2024-02-06
365열린한의원,한의원,서울,관악구,"서울특별시 관악구 양녕로 58, 302호 (봉천동, 고은빌딩)",2007-09-14
365예한의원,한의원,서울,송파구,"서울특별시 송파구 가락로36길 5, (방이동,2층)",2010-04-08
365오목교성모마취통증의학과의원,의원,서울,양천구,"서울특별시 양천구 신목로 88, 2층 (신정동)",2025-10-02
365온(ON)가정의원,의원,서울,중구,"서울특별시 중구 왕십리로 407, B1층 2호 (신당동, 신당 파인힐 하나유보라)",2023-05-12
365올케어치과의원,치과의원,서울,중구,"서울특별시 중구 동호로 171, 4층 (신당동)",2023-07-19
365용인바른의원,의원,경기,용인처인구,"경기도 용인시 처인구 고림로 140, 2층 (고림동)",2024-10-29
365웰재활의학과의원,의원,서울,강서구,"서울특별시 강서구 양천로67길 15, 한희빌딩 5층 (염창동)",2025-04-10
365웰정형외과의원,의원,서울,강동구,"서울특별시 강동구 양재대로 1360, 포레온스테이션5 3층 3004~3010, 3037호 (둔촌동)",2025-01-21
365웰정형외과재활의학과의원,의원,서울,송파구,"서울특별시 송파구 오금로 239, 365웰빌딩 지하1층, 2~5층 1층 103호 (방이동)",2022-09-01
365이화웃는세상의원,의원,서울,은평구,"서울특별시 은평구 진관3로 11, 3층 301호 (진관동, 은평뉴타운 힐데스하임)",2018-09-20
365일이가편한연세치과의원,치과의원,경기,용인기흥구,"경기도 용인시 기흥구 마북로 164, 203호 (마북동, 테라스가든 A빌딩)",2010-01-21
365코이의원,의원,서울,강남구,"서울특별시 강남구 강남대로118길 12, 부경빌딩 3층, 4층일부, 5층 (논현동)",2020-01-07
365탄탄한의원,한의원,서울,영등포구,"서울특별시 영등포구 문래로 79-4, 태양프라자 4층 (문래동3가)",2021-05-10
365탑치과의원,치과의원,서울,관악구,"서울특별시 관악구 남부순환로 2082-25, 3층 (남현동)",2024-03-20
365평생한의원,한의원,서울,송파구,"서울특별시 송파구 오금로 500, 동양빌딩 3층 (거여동)",2020-04-16
365플러스이비인후과의원,의원,경기,용인기흥구,"경기도 용인시 기흥구 죽전로 53, 404호 (보정동, 야후빌딩)",2005-03-07
365필요한의원,한의원,서울,중랑구,"서울특별시 중랑구 망우로 198, 2층 (상봉동)",2024-03-06
365한결탑마취통증의학과의원,의원,경기,용인처인구,"경기도 용인시 처인구 포곡읍 포곡로 121, 2,3층",2025-11-18
365한국신통의원,의원,서울,광진구,"서울특별시 광진구 면목로 174, 2층 (중곡동)",2015-06-12
365한숲가정의학과의원,의원,경기,용인처인구,"경기도 용인시 처인구 남사면 한숲로 45, 한숲스퀘어옐로우 4층 415호",2018-09-27
365항외과의원,의원,서울,강북구,"서울특별시 강북구 도봉로 333, 8층 (수유동, 정우빌딩)",2015-07-03
365헬리오한의원,한의원,서울,송파구,"서울특별시 송파구 송파대로 345, 1A동 4층 4009호 (가락동, 헬리오시티)",2019-03-08
365화이팅한의원,한의원,경기,용인기흥구,"경기도 용인시 기흥구 기흥역로 63, 3층 (구갈동, 힐스테이트 기흥)",2018-11-28
365황금손한의원,한의원,서울,관악구,"서울특별시 관악구 난곡로 305, 대영빌딩 3층 (신림동)",2022-09-16
365휘경사랑의원,의원,서울,동대문구,"서울특별시 동대문구 망우로 77, 2층 (휘경동)",2025-04-14
365힐링의원,의원,서울,강동구,"서울특별시 강동구 천호대로 1087, 2층 201호 (천호동, 진넥스빌Ⅲ)",2017-06-08
365힐링의원,의원,경기,용인기흥구,"경기도 용인시 기흥구 죽전로 49, 씨티프라자 301호 (보정동)",2019-10-29
41연세빛정신건강의학과의원,의원,서울,양천구,"서울특별시 양천구 목동동로 293, 현대41타워 403호 (목동)",2021-06-02
41타워 마디튼튼의원,의원,서울,양천구,"서울특별시 양천구 목동동로 293, 현대41타워 406,407호 (목동)",2019-05-20
41타워안과의원,의원,서울,양천구,"서울특별시 양천구 목동동로 293, 현대41타워 504,505호 (목동)",2014-06-16
4대회춘당한의원,한의원,서울,성동구,"서울특별시 성동구 행당로 107, 2층 (행당동)",2015-06-04
4월31일성형외과의원,의원,서울,강남구,"서울특별시 강남구 논현로 707, 4월 31일 빌딩 지하1층 일부, 2~3층 (논현동)",2000-01-05
4월31일치과의원,치과의원,서울,강남구,"서울특별시 강남구 강남대로 548, 5층 (논현동, 건우빌딩)",1997-07-12
747의원,의원,서울,강남구,"서울특별시 강남구 도산대로 122, 에메랄드타워 8층 (논현동)",2025-11-14
815의원,의원,서울,강남구,"서울특별시 강남구 논현로 822, 로뎀빌딩 4,5,6층 (신사동)",2018-08-20
81도치과교정과치과의원,치과의원,서울,서초구,"서울특별시 서초구 서초대로 286, 2층 202호 (서초동, 서초프라자)",2017-05-10
88신경외과의원,의원,서울,영등포구,"서울특별시 영등포구 도림로 144, 88월드타워 4층 (대림동)",2021-02-04
88월드치과의원,치과의원,서울,영등포구,"서울특별시 영등포구 도림로 144, 88월드타워 3층 (대림동)",2021-09-27
88플러스내과산부인과의원,의원,서울,노원구,"서울특별시 노원구 동일로192길 74, 201,202호 (공릉동, 우은빌딩)",2022-04-01
88플러스내과의원,의원,서울,강서구,"서울특별시 강서구 방화동로 40, 2층 (공항동)",2022-03-30
88흉부외과의원,의원,서울,구로구,"서울특별시 구로구 가마산로 246, 5층 (구로동)",2021-08-17
8메디한의원,한의원,서울,서초구,"서울특별시 서초구 서초중앙로 125, 4층 408호 (서초동, 로이어즈타워)",2013-10-30
90일의기적의원,의원,서울,강남구,"서울특별시 강남구 도산대로 509, 에스디바이오센서 4층 (청담동)",2024-10-25
9988병원,병원,서울,성동구,"서울특별시 성동구 왕십리로 269, (행당동)",2017-11-23
9치한의원,한의원,서울,서초구,"서울특별시 서초구 효령로 279, 7층 (서초동)",2014-09-18
B&B치과의원,치과의원,서울,송파구,"서울특별시 송파구 양재대로 932, 청과물동 3층 (가락동, 가락농수산물시장)",2010-08-09
BJ 라임의원,의원,서울,관악구,"서울특별시 관악구 과천대로 939, 르메이에르강남타운2 (남현동)",2009-03-10
BLS(비엘에스)의원,의원,서울,강남구,"서울특별시 강남구 도산대로67길 13-5, BLS클리닉빌딩 1,2,3,6층 (청담동)",2007-08-27
CBK최영균치과의원,치과의원,서울,노원구,"서울특별시 노원구 동일로180길 14, 공릉쇼핑센타 3층 (공릉동)",2023-03-08
CL성형외과의원,의원,서울,노원구,"서울특별시 노원구 동일로 1392, 5층 (상계동, 노원한일빌딩)",2008-03-03
CNP차앤박피부과의원,의원,서울,영등포구,"서울특별시 영등포구 여의나루로 53-1, 4층 (여의도동, 대오빌딩)",2001-04-19
D&A(디앤에이)성형외과의원,의원,서울,강남구,"서울특별시 강남구 압구정로 210, 용기빌딩 3층 일부 (신사동)",1996-06-13
DMC수색신경외과의원,의원,서울,은평구,"서울특별시 은평구 수색로 191, 두빌191 2층 (증산동)",2003-01-07
Dr. 고 신경정신과의원,의원,서울,광진구,"서울특별시 광진구 능동로 324, 3층 (중곡동)",1985-02-13
DR.문이비인후과의원,의원,서울,관악구,"서울특별시 관악구 은천로 105, (봉천동)",2007-08-24
Dr.서치과의원,치과의원,서울,송파구,"서울특별시 송파구 양재대로 1148, (오금동)",2010-07-21
Dr홍연합의원,의원,서울,송파구,"서울특별시 송파구 토성로 78, 203호 (풍납동)",2012-06-01
E&I 치과의원,치과의원,서울,동대문구,"서울특별시 동대문구 고산자로 399, 4층 (용두동)",2006-02-08
e365치과의원,치과의원,서울,서대문구,"서울특별시 서대문구 수색로 56, 성공타워1 3층 305호 (북가좌동)",2015-02-09
EB치과의원,치과의원,서울,동대문구,"서울특별시 동대문구 장한로 170, (장안동)",2007-03-30
e-바른치과의원,치과의원,서울,강서구,"서울특별시 강서구 강서로 163, 3층 (화곡동, 콤마빌딩)",1997-04-23
e사랑치과의원,치과의원,서울,도봉구,"서울특별시 도봉구 도봉로 618, (창동)",2006-07-10
e-서울이비인후과의원,의원,서울,구로구,"서울특별시 구로구 디지털로 288, 대륭포스트타워1차 211호 (구로동)",2007-04-20
e-스타치과의원,치과의원,서울,서대문구,"서울특별시 서대문구 신촌로 79, 3층 (창천동)",2009-04-27
e-아름다운치과의원,치과의원,서울,서대문구,"서울특별시 서대문구 충정로 8, (충정로3가)",2007-02-09
e-안치과의원,치과의원,서울,도봉구,"서울특별시 도봉구 덕릉로 240, 2층 (창동, 성원빌딩)",2009-04-27
e원플란트치과의원,치과의원,서울,동대문구,"서울특별시 동대문구 휘경로 15, 3층 (이문동)",2023-12-08
e조은치과의원,치과의원,서울,강북구,"서울특별시 강북구 솔샘로 233, (미아동, 동북프라자)",2002-02-27
e-좋은치과의원,치과의원,서울,강북구,"서울특별시 강북구 도봉로 255, 4층 (수유동)",2010-04-09
e-좋은치과의원,치과의원,서울,영등포구,"서울특별시 영등포구 영신로34길 1, (영등포동4가)",2001-10-04
e-좋은치과의원,치과의원,서울,금천구,"서울특별시 금천구 시흥대로 368, 2층 (독산동)",2004-06-25
e편한치과의원,치과의원,경기,용인기흥구,"경기도 용인시 기흥구 중부대로 343-1, (신갈동)",1997-12-04
e-편한치과의원,치과의원,서울,중랑구,"서울특별시 중랑구 신내로 211, 202호 (신내동, 금강리빙스텔)",1999-04-08
e-편한치과의원,치과의원,서울,서대문구,"서울특별시 서대문구 모래내로24가길 30, 1,2층 (홍제동)",2001-06-16
e-편한치과의원,치과의원,서울,노원구,"서울특별시 노원구 동일로227길 26, (상계동, 상계주공15단지아파트)",2003-03-05
e프란트치과의원,치과의원,경기,용인수지구,"경기도 용인시 수지구 문인로54번길 2, 405~406호 (동천동, 수지하우비)",2005-06-11
e-플란트치과의원,치과의원,서울,강서구,"서울특별시 강서구 수명로 72, 502호 (내발산동, 발산신성프라자)",2008-03-12
e-하얀치과의원,치과의원,서울,송파구,"서울특별시 송파구 중대로9길 41, 2층 (가락동, 익수빌딩)",2002-04-30
e하임치과의원,치과의원,서울,동작구,"서울특별시 동작구 사당로 234, 4층 (사당동)",2014-06-02
e해박난치과의원,치과의원,서울,동작구,"서울특별시 동작구 노량진로 152-1, 3층 (노량진동)",2009-01-20
e화이트치과의원,치과의원,경기,용인기흥구,"경기도 용인시 기흥구 보정로 109, 405호 (보정동, 현대프라자)",2005-04-18
G7치과의원,치과의원,경기,용인수지구,"경기도 용인시 수지구 만현로 110, 원희캐슬프라자 A동 401호 (상현동)",2011-11-30
GSR(지에스알)재활의학과의원,의원,서울,서초구,"서울특별시 서초구 서초대로77길 5, 8층 (서초동)",2024-09-19
I-플러스치과의원,치과의원,경기,용인기흥구,"경기도 용인시 기흥구 흥덕2로87번길 18, 이씨티 A동 210호 (영덕동)",2016-04-18
