요양기관명,종별코드명,시도코드명,시군구코드명,주소,개설일자
신이비인후과의원,의원,서울,동작구,"서울특별시 동작구 사당로 231, (사당동)",1989-03-17
신이비인후과의원,의원,서울,강동구,"서울특별시 강동구 양재대로 1477, 삼환빌딩 4층 (길동)",2020-05-01
신익순 소아청소년과의원,의원,서울,은평구,"서울특별시 은평구 수색로 200, DMC센트럴자이 401동 2층 213,214,215호 (증산동)",2022-05-26
신익순한의원,한의원,서울,영등포구,"서울특별시 영등포구 신길로 166, 2층 (신길동)",2003-08-22
신일가정의원,의원,서울,중랑구,"서울특별시 중랑구 면목로 419, 4층 (면목동)",2006-03-02
신일병원,병원,서울,강북구,"서울특별시 강북구 덕릉로 73, (수유동)",1982-05-22
신일외과의원,의원,서울,광진구,"서울특별시 광진구 뚝섬로 511, (자양동)",1988-04-28
신일치과의원,치과의원,서울,관악구,"서울특별시 관악구 남현4길 1, 201호 (남현동)",2016-10-06
신일한의원,한의원,서울,종로구,"서울특별시 종로구 종로35길 25, 1층 101호 (효제동, 자인빌딩)",2013-01-03
신재경정신건강의학과의원,의원,서울,마포구,"서울특별시 마포구 양화로 156, 3층 315호 (동교동, LG팰리스빌딩)",2016-01-04
신재식마취통증의학과의원,의원,서울,송파구,"서울특별시 송파구 오금로 504, (거여동)",2000-02-16
신재창치과의원,치과의원,서울,강서구,"서울특별시 강서구 등촌로 173, (등촌동)",1988-05-11
신재호내과의원,의원,서울,동대문구,"서울특별시 동대문구 이문로 133-1, (이문동)",1995-04-25
신재활의학과의원,의원,서울,은평구,"서울특별시 은평구 서오릉로 193, (구산동)",2014-09-03
신정경희한의원,한의원,서울,양천구,"서울특별시 양천구 오목로 151-1, 2층, 3층 (신정동)",2023-04-14
신정네거리한의원,한의원,서울,양천구,"서울특별시 양천구 중앙로 255, 2층 (신정동)",2023-07-17
신정리더스정형외과의원,의원,서울,양천구,"서울특별시 양천구 신월로 274, 1층 (신정동)",2025-11-26
신정박내과의원,의원,서울,양천구,"서울특별시 양천구 중앙로 262, 3층 (신정동, 신정바이오프라자)",2005-10-26
신정봄내과의원,의원,서울,강서구,"서울특별시 강서구 곰달래로 272, 2층 201호 (화곡동)",2025-03-21
신정애한의원,한의원,서울,서초구,"서울특별시 서초구 잠원로 209-1, 2층 (잠원동)",2019-05-30
신정한의원,한의원,서울,양천구,"서울특별시 양천구 목동동로8길 29, (신정동)",1990-09-15
신종렬치과의원,치과의원,서울,관악구,"서울특별시 관악구 난곡로 85, (신림동)",1979-02-12
신중현치과의원,치과의원,서울,강북구,"서울특별시 강북구 삼양로 593, 2층 (우이동)",1996-12-18
신중호내과의원,의원,서울,종로구,"서울특별시 종로구 지봉로 61-1, (창신동)",1997-04-23
신창기독의원,의원,서울,도봉구,"서울특별시 도봉구 우이천로4길 42, (창동)",1996-10-01
신창내과의원,의원,서울,도봉구,"서울특별시 도봉구 덕릉로 233, (창동)",1982-10-28
신창성모내과의원,의원,서울,도봉구,"서울특별시 도봉구 덕릉로 258, 3층 (창동, 호원프라자)",2007-04-27
신창식이비인후과의원,의원,서울,관악구,"서울특별시 관악구 신림로 310, 3층 (신림동)",1997-03-04
신창최정형외과의원,의원,서울,도봉구,"서울특별시 도봉구 덕릉로 258, (창동)",2002-08-09
신창치과의원,치과의원,서울,도봉구,"서울특별시 도봉구 덕릉로 238, (창동)",2001-10-16
신천상쾌한이비인후과의원,의원,서울,송파구,"서울특별시 송파구 올림픽로 119, 잠실파인애플상가 3층 3B04호 (잠실동)",2009-02-12
신천한의원,한의원,서울,송파구,"서울특별시 송파구 석촌호수로 68, 2층 (잠실동)",2006-08-25
신촌고운미소치과의원,치과의원,서울,마포구,"서울특별시 마포구 신촌로 92, 6층 (노고산동, 카리스빌딩)",2011-04-26
신촌김안과의원,의원,서울,마포구,"서울특별시 마포구 신촌로16길 4, 4층 (노고산동)",1988-05-03
신촌김지영한의원,한의원,서울,서대문구,"서울특별시 서대문구 신촌로 127, (창천동, 르메이에르 3차 305호)",2010-09-27
신촌다인치과병원,치과병원,서울,마포구,"서울특별시 마포구 신촌로 94, 10층,11층 (노고산동, 그랜드플라자)",2015-03-13
신촌맑음구강내과치과의원,치과의원,서울,마포구,"서울특별시 마포구 신촌로 116, 4층 (노고산동)",2020-06-25
신촌면력한방병원,한방병원,서울,서대문구,"서울특별시 서대문구 연세로 12, 피델리아 타워 8~14층 (창천동)",2024-04-25
신촌바른내과의원,의원,서울,마포구,"서울특별시 마포구 신촌로 174, 3층 301,302호 (대흥동)",2019-02-01
신촌벗의원,의원,서울,마포구,"서울특별시 마포구 광성로 17, 상가동 지하1층 112호, 113호 (신수동, 신촌숲아이파크)",2025-08-11
신촌삼성의원,의원,서울,마포구,"서울특별시 마포구 신촌로 162, 캠프21오피스텔 2층일부, 3층 (대흥동)",2021-02-04
신촌연세병원,병원,서울,마포구,"서울특별시 마포구 서강로 110, 지2층~6층 (신수동)",1999-11-24
신촌연세이비인후과의원,의원,서울,마포구,"서울특별시 마포구 신촌로 88, 5층 (노고산동, 태영빌딩)",2003-07-24
신촌연세이비인후과이대점의원,의원,서울,마포구,"서울특별시 마포구 신촌로 190, 3,4층 (염리동, 대연빌딩)",2003-07-24
신촌연세재활의학과의원,의원,서울,마포구,"서울특별시 마포구 신촌로 170, 1층 상가206호, 상가207호, 상가208호, 상가210호 (대흥동)",2025-06-27
신촌연세퀸산부인과의원,의원,서울,마포구,"서울특별시 마포구 서강로 106, 5,6,7층 (신수동)",2004-07-29
신촌오라클피부과의원,의원,서울,서대문구,"서울특별시 서대문구 신촌로 79, 성광빌딩 5층 (창천동)",2010-01-07
신촌유디치과의원,치과의원,서울,마포구,"서울특별시 마포구 신촌로 150, 201호,205호,206호,207호 (노고산동, 신촌포스빌)",2010-04-16
신촌유앤아이치과의원,치과의원,서울,마포구,"서울특별시 마포구 신촌로 82, 3층 (노고산동)",2016-12-19
신촌티오피산부인과의원,의원,서울,마포구,"서울특별시 마포구 신촌로 92, 신촌카리스빌딩 8층 (노고산동)",2017-12-29
신촌힐링요양병원,요양병원,서울,서대문구,"서울특별시 서대문구 모래내로 330, 미도빌딩 (홍은동)",2022-12-02
신출한의원,한의원,서울,강남구,"서울특별시 강남구 논현로168길 32, 유니드 빌딩 502호 (신사동)",2014-03-07
신치과의원,치과의원,서울,강서구,"서울특별시 강서구 곰달래로 245, (화곡동)",1978-08-24
신치과의원,치과의원,서울,은평구,"서울특별시 은평구 은평로 6, 4층 (신사동)",1983-06-01
신치과의원,치과의원,서울,송파구,"서울특별시 송파구 백제고분로48길 16, 2층 (방이동, 금호빌딩)",1992-06-17
신침한의원,한의원,서울,송파구,"서울특별시 송파구 중대로 124, 2층 (가락동)",2022-06-07
신통가정의학과의원,의원,서울,동작구,"서울특별시 동작구 동작대로 25-1, 3층 (사당동)",2023-05-10
신통방통마취통증의학과의원,의원,서울,노원구,"서울특별시 노원구 동일로 1402, (상계동)",2014-01-24
